method,rows,cols,density,nnz,iters,ns_per_run,gflops_spmv
M1_dense_direct,256,256,0.0100,757,2048,45275.39,0.0334
M2_two_phase_naive,256,256,0.0100,757,2048,47596.19,0.0318
M3_two_phase_branchless,256,256,0.0100,757,2048,32593.26,0.0465
M4_fused_branchy,256,256,0.0100,757,2048,46993.65,0.0322
M5_fused_branchless,256,256,0.0100,757,1024,89220.70,0.0170
M1_dense_direct,256,256,0.0200,1432,2048,45447.75,0.0630
M2_two_phase_naive,256,256,0.0200,1432,1024,52797.85,0.0542
M3_two_phase_branchless,256,256,0.0200,1432,2048,32910.64,0.0870
M4_fused_branchy,256,256,0.0200,1432,1024,51770.51,0.0553
M5_fused_branchless,256,256,0.0200,1432,1024,89963.87,0.0318
M1_dense_direct,256,256,0.0500,3422,2048,45755.86,0.1496
M2_two_phase_naive,256,256,0.0500,3422,1024,72464.84,0.0944
M3_two_phase_branchless,256,256,0.0500,3422,2048,34049.80,0.2010
M4_fused_branchy,256,256,0.0500,3422,1024,69720.70,0.0982
M5_fused_branchless,256,256,0.0500,3422,1024,89663.09,0.0763
M1_dense_direct,256,256,0.1000,6706,2048,45425.78,0.2953
M2_two_phase_naive,256,256,0.1000,6706,512,103283.20,0.1299
M3_two_phase_branchless,256,256,0.1000,6706,2048,36361.33,0.3689
M4_fused_branchy,256,256,0.1000,6706,512,97033.20,0.1382
M5_fused_branchless,256,256,0.1000,6706,1024,89558.59,0.1498
M1_dense_direct,256,256,0.2000,13201,2048,45494.63,0.5803
M2_two_phase_naive,256,256,0.2000,13201,512,168724.61,0.1565
M3_two_phase_branchless,256,256,0.2000,13201,2048,42602.05,0.6197
M4_fused_branchy,256,256,0.2000,13201,512,154175.78,0.1712
M5_fused_branchless,256,256,0.2000,13201,1024,89923.83,0.2936
M1_dense_direct,256,256,0.3500,22942,2048,45617.19,1.0058
M2_two_phase_naive,256,256,0.3500,22942,256,284691.41,0.1612
M3_two_phase_branchless,256,256,0.3500,22942,1024,54136.72,0.8476
M4_fused_branchy,256,256,0.3500,22942,256,259082.03,0.1771
M5_fused_branchless,256,256,0.3500,22942,1024,89882.81,0.5105
M1_dense_direct,256,256,0.5000,32721,2048,45515.62,1.4378
M2_two_phase_naive,256,256,0.5000,32721,256,383167.97,0.1708
M3_two_phase_branchless,256,256,0.5000,32721,1024,64391.60,1.0163
M4_fused_branchy,256,256,0.5000,32721,256,342386.72,0.1911
M5_fused_branchless,256,256,0.5000,32721,1024,89521.48,0.7310
M1_dense_direct,256,256,0.7000,45818,2048,45438.96,2.0167
M2_two_phase_naive,256,256,0.7000,45818,256,268988.28,0.3407
M3_two_phase_branchless,256,256,0.7000,45818,1024,79783.20,1.1486
M4_fused_branchy,256,256,0.7000,45818,256,222906.25,0.4111
M5_fused_branchless,256,256,0.7000,45818,1024,89576.17,1.0230
M1_dense_direct,256,256,0.9000,59083,2048,45425.78,2.6013
M2_two_phase_naive,256,256,0.9000,59083,512,167908.20,0.7038
M3_two_phase_branchless,256,256,0.9000,59083,512,101806.64,1.1607
M4_fused_branchy,256,256,0.9000,59083,512,103210.94,1.1449
M5_fused_branchless,256,256,0.9000,59083,1024,89620.12,1.3185
M1_dense_direct,32,32,0.1000,109,262144,327.00,0.6667
M2_two_phase_naive,32,32,0.1000,109,65536,813.81,0.2679
M3_two_phase_branchless,32,32,0.1000,109,131072,576.35,0.3782
M4_fused_branchy,32,32,0.1000,109,131072,667.14,0.3268
M5_fused_branchless,32,32,0.1000,109,65536,774.81,0.2814
M1_dense_direct,64,64,0.1000,403,32768,1904.94,0.4231
M2_two_phase_naive,64,64,0.1000,403,16384,4124.21,0.1954
M3_two_phase_branchless,64,64,0.1000,403,32768,2377.17,0.3391
M4_fused_branchy,64,64,0.1000,403,16384,3175.66,0.2538
M5_fused_branchless,64,64,0.1000,403,16384,3960.94,0.2035
M1_dense_direct,128,128,0.1000,1631,8192,10742.68,0.3036
M2_two_phase_naive,128,128,0.1000,1631,4096,21689.45,0.1504
M3_two_phase_branchless,128,128,0.1000,1631,8192,9510.74,0.3430
M4_fused_branchy,128,128,0.1000,1631,4096,20112.55,0.1622
M5_fused_branchless,128,128,0.1000,1631,4096,17362.30,0.1879
M1_dense_direct,256,256,0.1000,6706,2048,45392.58,0.2955
M2_two_phase_naive,256,256,0.1000,6706,512,103074.22,0.1301
M3_two_phase_branchless,256,256,0.1000,6706,2048,36301.27,0.3695
M4_fused_branchy,256,256,0.1000,6706,1024,97023.44,0.1382
M5_fused_branchless,256,256,0.1000,6706,1024,89583.98,0.1497
M1_dense_direct,512,512,0.1000,26528,256,249566.41,0.2126
M2_two_phase_naive,512,512,0.1000,26528,128,427843.75,0.1240
M3_two_phase_branchless,512,512,0.1000,26528,512,145216.80,0.3654
M4_fused_branchy,512,512,0.1000,26528,128,405914.06,0.1307
M5_fused_branchless,512,512,0.1000,26528,128,395375.00,0.1342
M1_dense_direct,1024,1024,0.1000,105309,64,1154171.88,0.1825
M2_two_phase_naive,1024,1024,0.1000,105309,32,1752156.25,0.1202
M3_two_phase_branchless,1024,1024,0.1000,105309,128,609281.25,0.3457
M4_fused_branchy,1024,1024,0.1000,105309,32,1638593.75,0.1285
M5_fused_branchless,1024,1024,0.1000,105309,32,1657062.50,0.1271
M1_dense_direct,64,1024,0.1500,9956,1024,71787.11,0.2774
M2_two_phase_naive,64,1024,0.1500,9956,512,140748.05,0.1415
M3_two_phase_branchless,64,1024,0.1500,9956,2048,40519.04,0.4914
M4_fused_branchy,64,1024,0.1500,9956,512,127451.17,0.1562
M5_fused_branchless,64,1024,0.1500,9956,512,103529.30,0.1923
M1_dense_direct,1024,64,0.1500,9956,2048,30542.97,0.6519
M2_two_phase_naive,1024,64,0.1500,9956,512,135822.27,0.1466
M3_two_phase_branchless,1024,64,0.1500,9956,2048,40583.50,0.4906
M4_fused_branchy,1024,64,0.1500,9956,512,125476.56,0.1587
M5_fused_branchless,1024,64,0.1500,9956,1024,63249.02,0.3148
M1_dense_direct,128,512,0.1500,9956,1024,62410.16,0.3191
M2_two_phase_naive,128,512,0.1500,9956,512,140056.64,0.1422
M3_two_phase_branchless,128,512,0.1500,9956,2048,40281.25,0.4943
M4_fused_branchy,128,512,0.1500,9956,512,125671.88,0.1584
M5_fused_branchless,128,512,0.1500,9956,512,98921.88,0.2013
M1_dense_direct,512,128,0.1500,9956,2048,42920.90,0.4639
M2_two_phase_naive,512,128,0.1500,9956,512,133753.91,0.1489
M3_two_phase_branchless,512,128,0.1500,9956,2048,39134.28,0.5088
M4_fused_branchy,512,128,0.1500,9956,512,123056.64,0.1618
M5_fused_branchless,512,128,0.1500,9956,1024,69312.50,0.2873
